"source","target","dist"
"c10","c0",0.909361944776
"c10","c11",0.136262142681
"c10","c14",0.243704041473
"c10","c2",0.29682145629
"c10","c3",0.134327458387
"c10","c4",0.195053501983
"c10","c7",0.514693202714
"c10","c6",0.96696230412
"c10","c8",0.378548768956
"c10","c9",0.125698665185
"c10","c15",0.42683919822
"c2","h_51",0.37853154893
"c22","c20",0.325851284311
"c22","c21",0.434254637053
"c22","c23",0.345310832548
"c22","c24",0.28139235284
"c26","c17",0.185558312074
"c26","c18",0.146427499349
"c26","c19",0.159777017742
"c26","c22",0.332045987271
"c26","c25",0.138113248713
"c26","c27",0.0950042889075
"c26","c28",0.186571231361
"c26","c29",0.0966148248843
"c26","c30",0.100788930084
"c31","c37",0.400665357692
"c36","c46",0.377061741164
"c47","c36",0.487905441293
"c38","c26",1.037494659156
"c38","c31",0.752396892018
"c38","c32",1.0162832365
"c38","c33",0.758150348591
"c38","c34",0.491888415619
"c38","c35",0.544426653507
"c36","c38",1.01077254032
"c38","c44",0.726727960118
"c7","c5",0.711082523559
"c47","c43",0.435786498994
"c47","c45",0.345884133774
"c48","c47",0.973692134043
"c47","c49",1.33567222565
"c10","c48",1.536640978656
"c48","c39",0.48647804123
"c48","c40",0.676653922153
"c48","c41",0.396379581842
"c48","c42",2.03497331627
"c8","c1",0.337122494732
"h_50","c12",0.17816631633
"h_50","c13",0.16634347922
"h_51","c16",0.54311940664
"h_51","h_50",0.35906332037
